Model,Train_Accuracy,Test_Accuracy,Precision,Recall,F1_Score,AUC_ROC,CV_F1
Baseline (Default),1.0,0.6751918158567775,0.5973154362416108,0.5705128205128205,0.5836065573770491,0.6575968357883252,0.5915239917019633
Best Model (manual 3),0.8886043533930857,0.7289002557544757,0.654320987654321,0.6794871794871795,0.6666666666666666,0.7577195853791598,0.6160273750807279
